D,Air Meter,Water Meter,Pressure,m_dot_g,m_dot_f,\delta,dP/dz
mm,Reading,Reading,kPa,g/s,g/s,µm,kPa/m
26.3,1600,5500,106.4,41.2,91.6,148.5,-7.28
26.3,1600,4500,106.6,40.8,75,142.4,-6.64
26.3,1600,3500,105.1,40.2,58.3,135.7,-5.67
26.3,1600,2700,105.3,39.5,45,129.5,-4.79
26.3,1600,2000,103.8,38.8,33.3,130.1,-3.9
26.3,1400,9000,106.4,35.7,149.9,188.5,-7.49
26.3,1400,7500,104.8,35.3,125,186,-6.76
26.3,1400,6500,105,34.9,108.3,178.1,-6.28
26.3,1400,5500,105.1,34.6,91.6,174.1,-5.54
26.3,1400,4500,103.6,34.2,75,166.3,-4.98
26.3,1400,3500,103.7,34,58.3,156.3,-4.38
26.3,1400,2700,103.9,33.4,45,150.6,-3.66
26.3,1400,2000,101.4,33,33.3,147.3,-3.11
26.3,1200,9000,105.1,29.5,149.9,227.1,-5.89
26.3,1200,7500,103.4,29.1,125,217.5,-5.41
26.3,1200,6500,103.5,28.9,108.3,209.1,-5.04
26.3,1200,5500,103.7,28.8,91.6,200.6,-4.52
26.3,1200,4500,101.4,28.6,75,197.1,-4.06
26.3,1200,3500,101.4,28.3,58.3,186.9,-3.46
26.3,1200,2700,101.4,27.7,45,175,-2.82
26.3,1200,2000,101.4,27.4,33.3,167.7,-2.42
